,no,ranking,bookname,authors,publisher,publication_year,isbn13,loan_count,page_price
0,1,1,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,9791189327156,444,"17,000원"
1,2,2,불편한 편의점 :김호연 장편소설 ,지은이: 김호연,나무옆의자,2021,9791161571188,417,"14,000원"
2,3,3,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예,팩토리나인,2020,9791165341909,408,"13,800원"
3,4,4,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽,허블,2019,9791190090018,383,"14,000원"
4,5,4,지구 끝의 온실 :김초엽 장편소설 ,지은이: 김초엽,Giant Books(자이언트북스),2021,9791191824001,383,"15,000원"
5,6,6,홍학의 자리 :정해연 장편소설 ,지은이: 정해연,문학동네,2021,9788954681155,342,"14,000원"
6,7,7,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑,문학동네,2020,9788954672214,336,"14,000원"
7,8,8,"칵테일, 러브, 좀비 ",지은이: 조예은,안전가옥,2020,9791190174756,331,"10,000원"
8,9,9,구의 증명 :최진영 소설 ,지은이: 최진영,은행나무,2015,9788956608556,318,"8,000원"
9,10,10,밝은 밤 :최은영 장편소설 ,지은이: 최은영,문학동네,2021,9788954681179,310,"14,500원"
